Created at	Closed at	Updated at	State	Labels	Comments	Number	Title	Url	Html url	Body	User name	User email	Milestone created at	Milestone due on	Milestone descrtiption	Milestone state	Milestone title
2012-03-29 15:33:54.0	2012-05-30 14:20:00.0	2014-07-01 22:33:42.0	closed	[]	4	16	Updated README for MarkDown (This is not a final version but a draft).	https://api.github.com/repos/torvalds/linux/issues/16	https://github.com/torvalds/linux/pull/16	This is a MarkDown version of the README file... must be renamed to README.md to work properly (I think). 	ghost	null	null	null	null	null	null	
2012-05-11 11:26:51.0	2012-05-11 11:27:55.0	2019-01-08 14:52:55.0	closed	[]	192	17	Add support for AR5BBU22 [0489:e03c]	https://api.github.com/repos/torvalds/linux/issues/17	https://github.com/torvalds/linux/pull/17		reejk	null	null	null	null	null	null	
2012-05-11 12:30:15.0	2012-05-16 02:18:53.0	2014-06-12 11:05:35.0	closed	[]	0	18	Add support for AR5BBU22 [0489:e03c]	https://api.github.com/repos/torvalds/linux/issues/18	https://github.com/torvalds/linux/pull/18		reejk	null	null	null	null	null	null	
2012-06-01 06:30:21.0	2012-06-01 06:31:12.0	2014-06-13 07:44:23.0	closed	[]	0	19	Update Documentation/ABI/obsolete/proc-pid-oom_adj	https://api.github.com/repos/torvalds/linux/issues/19	https://github.com/torvalds/linux/pull/19		vargheseapm	null	null	null	null	null	null	
2012-06-26 23:29:25.0	2013-04-29 19:22:49.0	2014-06-13 07:44:47.0	closed	[]	0	20	s	https://api.github.com/repos/torvalds/linux/issues/20	https://github.com/torvalds/linux/pull/20	sup 	goeke	null	null	null	null	null	null	
2012-08-24 02:44:33.0	2012-08-25 23:26:42.0	2014-06-13 07:43:52.0	closed	[]	0	21	UML	https://api.github.com/repos/torvalds/linux/issues/21	https://github.com/torvalds/linux/pull/21		asamy	null	null	null	null	null	null	
2012-09-16 02:27:38.0	2013-07-02 19:28:26.0	2014-06-12 11:43:36.0	closed	[]	1	22	Repaired broken USB ID 0x15E to 0x015E	https://api.github.com/repos/torvalds/linux/issues/22	https://github.com/torvalds/linux/pull/22	The USB device with ID 0x015E is known as Huwai WIXUBB116. The module works fine when the ID is changed to 0x015E. 	mdminhazulhaque	null	null	null	null	null	null	
2012-10-01 01:06:29.0	2013-07-04 00:19:22.0	2014-06-13 07:44:51.0	closed	[]	0	23	Junwei	https://api.github.com/repos/torvalds/linux/issues/23	https://github.com/torvalds/linux/pull/23		oscarvei	null	null	null	null	null	null	
2012-10-23 13:16:36.0	2013-07-10 18:44:11.0	2014-06-13 06:35:24.0	closed	[]	1	24	Update drivers/staging/bcm/InterfaceInit.h	https://api.github.com/repos/torvalds/linux/issues/24	https://github.com/torvalds/linux/pull/24	Added device ID of ZTE AX326. 	mdminhazulhaque	null	null	null	null	null	null	
2012-11-10 11:15:00.0	2013-09-03 19:00:19.0	2014-06-13 07:20:42.0	closed	[]	1	25	added support for Sony Vaio E-Series bluetooth	https://api.github.com/repos/torvalds/linux/issues/25	https://github.com/torvalds/linux/pull/25	added support for "foxconn hon/hai 0489:e027" bluetooth which is an Atheros 3011 chip 	paolostivanin	null	null	null	null	null	null	
2012-11-27 18:57:46.0	2012-11-27 20:29:10.0	2014-06-12 06:26:55.0	closed	[]	1	26	Tweak to support 1Mbaud and similar baudrates that require Mode16 instea...	https://api.github.com/repos/torvalds/linux/issues/26	https://github.com/torvalds/linux/pull/26	...d of Mode13 	alexey-pelykh	null	null	null	null	null	null	
2013-02-27 05:16:46.0	2013-11-15 05:27:17.0	2014-06-12 19:43:18.0	closed	[]	1	27	[PATCH] ATH6KL: "Fix the byte alignment rule to avoid loss of bytes in a TCP segment"	https://api.github.com/repos/torvalds/linux/issues/27	https://github.com/torvalds/linux/pull/27	I found the driver bug which occur loss of some bytes on the TCP/IP stack.  Either first 3 bytes of the first received tcp segment or last one over MTU size file can be loss due to the byte alignment problem. Although ATH6KL_HTC_ALIGN_BYTES was defined for 'extra bytes for htc header alignment' in the patch "Fix buffer alignment for scatter-gather I/O"(1df94a857), there exists the bytes loss issue which means that it will be truncated 3 bytes in the transmitted file contents if a file which has over MTU size is transferred through TCP/IP stack. It doesn't look like TCP/IP stack bug of 3.5 or the latest version of kernel but the byte alignment issue. This patch is to use the roundup() function for the byte alignment rather than the predefined ATH6KL_HTC_ALIGN_BYTES.  Signed-off-by: Myoungje Kim mjei78@gmail.com 	kingpotato	null	null	null	null	null	null	
2013-03-01 20:12:20.0	2013-03-01 21:25:59.0	2014-06-12 06:59:28.0	closed	[]	0	28	Remove trailing slash from kernel.org link	https://api.github.com/repos/torvalds/linux/issues/28	https://github.com/torvalds/linux/pull/28	A trailing slash on a URL connotes a link to a directory; an absence of a trailing slash connotes a link to a page. 	mikegagnon	null	null	null	null	null	null	
2013-03-05 14:29:00.0	2013-03-05 14:33:21.0	2014-06-12 22:37:42.0	closed	[]	0	29	ideapad: fix the delay when controlling brightness	https://api.github.com/repos/torvalds/linux/issues/29	https://github.com/torvalds/linux/pull/29		abdelli	null	null	null	null	null	null	
2013-03-09 14:16:30.0	2013-03-09 14:16:52.0	2014-06-17 22:35:28.0	closed	[]	1	30	Odroid 3.8.y	https://api.github.com/repos/torvalds/linux/issues/30	https://github.com/torvalds/linux/pull/30	Test 	mdrjr	null	null	null	null	null	null	
2013-03-20 21:37:45.0	null	2020-02-14 20:40:08.0	open	[]	1	31	Fix M1405 netbook touchpad	https://api.github.com/repos/torvalds/linux/issues/31	https://github.com/torvalds/linux/pull/31	Added support for Gigabyte M1405 touchpad 	mmatviyiv	null	null	null	null	null	null	
2013-05-12 12:33:33.0	null	2015-07-20 01:33:49.0	open	[]	4	32	value swap macro change with xor	https://api.github.com/repos/torvalds/linux/issues/32	https://github.com/torvalds/linux/pull/32		halit	null	null	null	null	null	null	
2013-05-16 09:06:29.0	2015-10-21 14:04:49.0	2015-10-21 14:04:49.0	closed	[]	2	33	fix crypto4xx_core.c compilation error	https://api.github.com/repos/torvalds/linux/issues/33	https://github.com/torvalds/linux/pull/33	This tiny pull request fixes...  ``` ...   CC      drivers/crypto/amcc/crypto4xx_core.o drivers/crypto/amcc/crypto4xx_core.c:1139:18: error: 'THIS_MODULE' undeclared here (not in a function) ... ```  compilation error. 	ryzhovau	null	null	null	null	null	null	
2013-05-18 02:13:05.0	null	2020-10-02 17:57:16.0	open	[]	0	34	Update aliasing-test.c	https://api.github.com/repos/torvalds/linux/issues/34	https://github.com/torvalds/linux/pull/34	i'm studying seminario de actualizacion at UCV, Greetings from Lima. by Marcelino Estrada 	smeaime	null	null	null	null	null	null	
2013-05-30 07:03:17.0	null	2020-02-18 14:28:23.0	open	[]	0	35	Update socket.c	https://api.github.com/repos/torvalds/linux/issues/35	https://github.com/torvalds/linux/pull/35	Improved the readability of the error message. 	njsubedi	null	null	null	null	null	null	
2013-06-05 21:41:10.0	null	2020-10-02 17:57:12.0	open	[]	0	36	audit: fixed typo in comment	https://api.github.com/repos/torvalds/linux/issues/36	https://github.com/torvalds/linux/pull/36		gwaltgw	null	null	null	null	null	null	
2013-06-19 21:45:29.0	2013-06-19 21:59:06.0	2014-06-13 07:43:49.0	closed	[]	0	37	Update ctx.h	https://api.github.com/repos/torvalds/linux/issues/37	https://github.com/torvalds/linux/pull/37		nmtigor	null	null	null	null	null	null	
2013-06-19 22:20:21.0	2013-07-17 13:17:35.0	2014-06-12 10:56:55.0	closed	[]	0	38	fix ctx.h	https://api.github.com/repos/torvalds/linux/issues/38	https://github.com/torvalds/linux/pull/38		nmtigor	null	null	null	null	null	null	
2013-06-22 21:08:19.0	2014-04-08 22:01:20.0	2014-06-12 08:18:00.0	closed	[]	0	39	Remove redundant msg.msg_namelen = 0 in drivers/staging/usbip/ubip_common.c	https://api.github.com/repos/torvalds/linux/issues/39	https://github.com/torvalds/linux/pull/39	Just spotted it from a Google search, thought I'd fix it. One-liner PR. 	eloff	null	null	null	null	null	null	
2013-06-25 08:19:38.0	null	2020-10-02 17:57:09.0	open	[]	0	40	update	https://api.github.com/repos/torvalds/linux/issues/40	https://github.com/torvalds/linux/pull/40	update 	lsmushroom	null	null	null	null	null	null	
2013-08-01 10:33:56.0	null	2014-06-13 02:41:39.0	open	[]	1	41	Merge pull request #1 from torvalds/master	https://api.github.com/repos/torvalds/linux/issues/41	https://github.com/torvalds/linux/pull/41	pull-linuxmaster 	moonlinux	null	null	null	null	null	null	
2013-08-07 09:35:37.0	2013-08-08 09:33:18.0	2014-06-12 04:54:24.0	closed	[]	2	42	Replace "duplicate" to "reproduce" README 	https://api.github.com/repos/torvalds/linux/issues/42	https://github.com/torvalds/linux/pull/42	Replace the word "duplicate" to "reproduce" in README to make the meaning more relevant. 	cshubhamrao	null	null	null	null	null	null	
2013-08-10 22:10:19.0	null	2014-06-13 21:29:30.0	open	[]	0	43	Update nv50.c	https://api.github.com/repos/torvalds/linux/issues/43	https://github.com/torvalds/linux/pull/43	"limit" is "length-1", otherwise line 143 should be corrected. 	nmtigor	null	null	null	null	null	null	
2013-08-19 16:33:52.0	null	2014-06-13 06:41:29.0	open	[]	1	44	Ralink 3070 WiFi adapter driver.	https://api.github.com/repos/torvalds/linux/issues/44	https://github.com/torvalds/linux/pull/44	This will add driver for Ralink 3070 WiFi adapter (shown below).  ![ralink](https://f.cloud.github.com/assets/534152/987448/a1e9c020-08ec-11e3-8f8f-5beddb3a1273.JPG) 	intermediatech	null	null	null	null	null	null	
2013-08-29 22:08:33.0	2013-08-29 23:12:58.0	2014-06-12 14:09:14.0	closed	[]	4	45	criar uma documentação em português do Brasil	https://api.github.com/repos/torvalds/linux/issues/45	https://github.com/torvalds/linux/pull/45		EvandroZanatta	null	null	null	null	null	null	
2013-09-10 19:29:08.0	2014-05-21 08:44:10.0	2015-02-09 18:01:59.0	closed	[]	1	46	Corrected typo in comments.	https://api.github.com/repos/torvalds/linux/issues/46	https://github.com/torvalds/linux/pull/46	Really minor, obviously, but "a algorithm" should be "an algorithm". 	tedivm	null	null	null	null	null	null	
2013-09-13 23:20:28.0	null	2014-06-13 06:41:07.0	open	[]	0	47	Merge pull request #1 from torvalds/master	https://api.github.com/repos/torvalds/linux/issues/47	https://github.com/torvalds/linux/pull/47		xuanmingkai	null	null	null	null	null	null	
2013-09-16 17:33:58.0	2015-02-06 18:34:12.0	2015-02-06 18:34:12.0	closed	[]	2	48	Add periodictimer to net/MRP to enable retries 	https://api.github.com/repos/torvalds/linux/issues/48	https://github.com/torvalds/linux/pull/48	Added periodic timer from [802.1Q-2011] to retry if MRP loses messages.  MRP used to lose JoinIn messages and never retry if it sent messages before the interface became ready.  The periodic timer from the 802.1Q spec never turns off.  It fires every second, causing MRP to bounce from state QA to AA and back. You might think that would stop when the registrar responds with an JoinIn, but there's no state in the MRP state table to ignore the periodic timer after getting a reply.  The result is MRP sends a JoinIn message every second.  This may not be desirable, but it's what the spec requires.  [802.1Q-2011] http://standards.ieee.org/findstds/standard/802.1Q-2011.html 	noelbk	null	null	null	null	null	null	
2013-10-02 08:23:57.0	2013-10-02 17:33:03.0	2016-03-13 17:30:12.0	closed	[]	3	49	rm redundant empty line	https://api.github.com/repos/torvalds/linux/issues/49	https://github.com/torvalds/linux/pull/49	a completely trivial patch to remove a completely redundant blank line. 	arjun024	null	null	null	null	null	null	
2013-10-09 09:59:34.0	null	2014-06-20 03:47:06.0	open	[]	7	50	how to access older version of zen kenrel from gitub	https://api.github.com/repos/torvalds/linux/issues/50	https://github.com/torvalds/linux/pull/50		nvan7891	null	null	null	null	null	null	
2013-10-23 23:27:51.0	2013-10-23 23:30:03.0	2014-08-16 20:16:29.0	closed	[]	0	51	e906c090ca17ed30ed0e826df3c4d095e5f5c865	https://api.github.com/repos/torvalds/linux/issues/51	https://github.com/torvalds/linux/pull/51		korneliuszo	null	null	null	null	null	null	
2013-10-31 14:14:42.0	null	2020-10-02 17:56:59.0	open	[]	0	54	correct rtl_op_set_tim and rtl_update_beacon implementation missing	https://api.github.com/repos/torvalds/linux/issues/54	https://github.com/torvalds/linux/pull/54	patch found at 'http://www.spinics.net/lists/linux-wireless/msg96128.html' 	jpbruyere	null	null	null	null	null	null	
2013-11-04 07:58:14.0	2013-11-04 08:00:41.0	2014-06-13 05:50:00.0	closed	[]	0	55	Merge pull request #1 from torvalds/master	https://api.github.com/repos/torvalds/linux/issues/55	https://github.com/torvalds/linux/pull/55	1103 	coder280	null	null	null	null	null	null	
2013-11-04 08:01:34.0	2013-11-04 08:02:49.0	2014-06-12 08:06:19.0	closed	[]	0	56	Merge pull request #1 from torvalds/master	https://api.github.com/repos/torvalds/linux/issues/56	https://github.com/torvalds/linux/pull/56	1103 	coder280	null	null	null	null	null	null	
2013-11-16 11:52:45.0	2013-11-16 11:53:39.0	2014-06-15 06:32:08.0	closed	[]	0	57	1116	https://api.github.com/repos/torvalds/linux/issues/57	https://github.com/torvalds/linux/pull/57		coder280	null	null	null	null	null	null	
2013-11-29 16:44:45.0	null	2020-10-02 17:56:57.0	open	[]	0	59	Fixed a minor typo in Documentation/rbtree.c	https://api.github.com/repos/torvalds/linux/issues/59	https://github.com/torvalds/linux/pull/59	Changed linus/rbtree.h to linux/rbtree.h 	anshulk	null	null	null	null	null	null	
2013-12-01 11:56:37.0	null	2014-06-16 00:52:30.0	open	[]	0	60	fix some typos	https://api.github.com/repos/torvalds/linux/issues/60	https://github.com/torvalds/linux/pull/60		yang-le	null	null	null	null	null	null	
2013-12-15 14:39:08.0	2014-06-12 15:37:22.0	2014-06-12 15:37:22.0	closed	[]	2	61	Update faq.txt	https://api.github.com/repos/torvalds/linux/issues/61	https://github.com/torvalds/linux/pull/61	I remove dead links. 	Codecombay	null	null	null	null	null	null	
2013-12-18 09:59:50.0	null	2020-02-16 17:35:50.0	open	[]	3	62	update to gnu3	https://api.github.com/repos/torvalds/linux/issues/62	https://github.com/torvalds/linux/pull/62		ghost	null	null	null	null	null	null	
2013-12-19 05:10:17.0	null	2020-10-02 17:56:52.0	open	[]	0	63	Odroidxu 3.4.y	https://api.github.com/repos/torvalds/linux/issues/63	https://github.com/torvalds/linux/pull/63		JustinKo-JK	null	null	null	null	null	null	
2013-12-24 15:56:36.0	2015-12-05 00:22:52.0	2015-12-05 00:22:52.0	closed	[]	0	64	Support for TQ2440 Board	https://api.github.com/repos/torvalds/linux/issues/64	https://github.com/torvalds/linux/pull/64	Support for TQ2440 Board 	lzto	null	null	null	null	null	null	
2014-01-02 14:31:45.0	null	2020-02-14 22:47:47.0	open	[]	0	65	Update REPORTING-BUGS	https://api.github.com/repos/torvalds/linux/issues/65	https://github.com/torvalds/linux/pull/65		ghost	null	null	null	null	null	null	
2014-01-03 13:50:06.0	2014-01-03 13:50:35.0	2014-06-13 07:17:20.0	closed	[]	1	66	Support MONITOR and MWAIT as no-op.	https://api.github.com/repos/torvalds/linux/issues/66	https://github.com/torvalds/linux/pull/66	MONITOR and MWAIT which are used to enter low power cpu wait until a memory address is accessed are by definition allowed to wake early, and thus we can replace them with a no-op to safely (although by burning up cpu). 	jmickeyd	null	null	null	null	null	null	
2014-01-13 13:09:24.0	null	2020-10-02 17:56:49.0	open	[]	0	67	7601	https://api.github.com/repos/torvalds/linux/issues/67	https://github.com/torvalds/linux/pull/67		danss70	null	null	null	null	null	null	
2014-01-22 05:10:12.0	2014-01-22 05:16:09.0	2014-06-15 14:10:49.0	closed	[]	0	68	none	https://api.github.com/repos/torvalds/linux/issues/68	https://github.com/torvalds/linux/pull/68	please cancel. 	shanmin	null	null	null	null	null	null	
2014-01-22 09:52:16.0	2015-03-16 18:25:52.0	2015-03-16 18:25:52.0	closed	[]	0	69	.	https://api.github.com/repos/torvalds/linux/issues/69	https://github.com/torvalds/linux/pull/69		arjun024	null	null	null	null	null	null	
2014-02-18 17:08:51.0	null	2020-10-02 17:56:46.0	open	[]	1	71	Update double.h	https://api.github.com/repos/torvalds/linux/issues/71	https://github.com/torvalds/linux/pull/71	Fixed punctuation. 	punctual	null	null	null	null	null	null	
2014-02-21 01:54:49.0	2014-02-21 01:55:36.0	2014-06-22 18:19:40.0	closed	[]	0	72	3.14-rc3	https://api.github.com/repos/torvalds/linux/issues/72	https://github.com/torvalds/linux/pull/72		shanmin	null	null	null	null	null	null	
2014-02-22 22:10:15.0	null	2020-02-14 22:43:01.0	open	[]	0	73	fixed a typo	https://api.github.com/repos/torvalds/linux/issues/73	https://github.com/torvalds/linux/pull/73	fixed a typo in .gitignore 	vadik2014	null	null	null	null	null	null	
2014-02-25 17:39:58.0	null	2020-10-02 17:56:42.0	open	[]	3	74	Update resize.c	https://api.github.com/repos/torvalds/linux/issues/74	https://github.com/torvalds/linux/pull/74	Update resize.c 	thedj21	null	null	null	null	null	null	
2014-03-02 02:26:36.0	null	2014-06-19 10:00:38.0	open	[]	0	75	Odroid 3.13.y	https://api.github.com/repos/torvalds/linux/issues/75	https://github.com/torvalds/linux/pull/75		leeseungcheol	null	null	null	null	null	null	
2014-03-05 08:16:58.0	null	2020-10-02 17:56:40.0	open	[]	2	76	Fix section 3.8 number	https://api.github.com/repos/torvalds/linux/issues/76	https://github.com/torvalds/linux/pull/76		ruckuus	null	null	null	null	null	null	
2014-03-07 16:20:39.0	null	2020-10-02 17:56:38.0	open	[]	1	77	Fixed typo in comment	https://api.github.com/repos/torvalds/linux/issues/77	https://github.com/torvalds/linux/pull/77	Changed "then" to "than" No functional change 	kiteflyingmonkey	null	null	null	null	null	null	
2014-03-16 12:12:36.0	null	2016-12-08 18:05:50.0	open	[]	11	78	supercharged some functions	https://api.github.com/repos/torvalds/linux/issues/78	https://github.com/torvalds/linux/pull/78	supercharged some boring ass function 	raincoats	null	null	null	null	null	null	
2014-03-16 17:50:35.0	null	2020-10-02 17:56:34.0	open	[]	4	79	Add period for consistency	https://api.github.com/repos/torvalds/linux/issues/79	https://github.com/torvalds/linux/pull/79	In a list of items, the other items end in a period. Adding a period to make the list items consistent. 	russellpwirtz	null	null	null	null	null	null	
2014-03-17 16:44:53.0	2014-03-18 16:19:04.0	2014-06-16 04:26:05.0	closed	[]	1	80	Script options fix	https://api.github.com/repos/torvalds/linux/issues/80	https://github.com/torvalds/linux/pull/80	This pull request fixes the following issues :  - when passing custom arguments to a script, if those arguments are not declared within perf, they prevent the execution of perf.   e.g.   ``` perf script -i path/to/perf.data -s my_script -arg1 arg_value ```  perf will issue an error message and no processing will occur - when passing custom arguments to a script, if those arguments are declared by perf, they are consumed and not passed to the script.   e.g.  ``` perf script -i path/to/perf.data -s my_script -h ```  perf will display its own help message, instead of the expected help message from my_script.  These issues are addressed as follows : - The parse option flag is changed from PARSE_OPT_STOP_AT_NON_OPTION to PARSE_OPT_KEEP_UNKNOWN - A new option type is introduce OPT_CALLBACK_FINAL_OPTION, which effectively prevents the parsing of all options located after the script. 	abak	null	null	null	null	null	null	
2014-03-18 05:17:16.0	null	2014-09-29 13:31:24.0	open	[]	13	81	facebook functionality	https://api.github.com/repos/torvalds/linux/issues/81	https://github.com/torvalds/linux/pull/81	allows users to login to linux with facebook 	raincoats	null	null	null	null	null	null	
2014-03-26 02:42:27.0	null	2020-05-18 17:47:56.0	open	[]	4	83	Merge pull request #1 from torvalds/master	https://api.github.com/repos/torvalds/linux/issues/83	https://github.com/torvalds/linux/pull/83	Pull request at 2013-12-19 	wuborush	null	null	null	null	null	null	
2014-03-31 06:24:24.0	null	2014-10-16 17:32:50.0	open	[]	5	84	ALSA: Missing ;	https://api.github.com/repos/torvalds/linux/issues/84	https://github.com/torvalds/linux/pull/84	Fixes: RT-Linux-Hdaudio-5.18 won't compile because of missing ; 	FriendlyHacker	null	null	null	null	null	null	
2014-03-31 08:07:47.0	2014-03-31 08:10:59.0	2014-06-12 08:17:59.0	closed	[]	0	85	Merge pull request #1 from torvalds/master	https://api.github.com/repos/torvalds/linux/issues/85	https://github.com/torvalds/linux/pull/85	pull from torvalds 	e-mailky	null	null	null	null	null	null	
2014-03-31 08:11:59.0	2014-03-31 09:11:18.0	2014-08-18 02:04:02.0	closed	[]	0	86	Merge pull request #1 from torvalds/master	https://api.github.com/repos/torvalds/linux/issues/86	https://github.com/torvalds/linux/pull/86	pull from torvalds 	e-mailky	null	null	null	null	null	null	
2014-04-02 11:43:00.0	2014-04-02 11:52:44.0	2014-06-12 04:44:16.0	closed	[]	0	87	Merge pull request #2 from torvalds/master	https://api.github.com/repos/torvalds/linux/issues/87	https://github.com/torvalds/linux/pull/87	合并作者的更新 	fbigun	null	null	null	null	null	null	
2014-04-07 05:48:02.0	2014-04-21 17:17:03.0	2014-06-20 05:28:43.0	closed	[]	0	88	Merge pull request #2 from torvalds/master	https://api.github.com/repos/torvalds/linux/issues/88	https://github.com/torvalds/linux/pull/88	合并作者的更新 	fbigun	null	null	null	null	null	null	
2014-04-08 07:56:37.0	2014-04-08 08:19:39.0	2014-06-12 08:17:53.0	closed	[]	1	89	Update ratelimit.c	https://api.github.com/repos/torvalds/linux/issues/89	https://github.com/torvalds/linux/pull/89	fix bug in ratelimit 	renweihub	null	null	null	null	null	null	
2014-04-08 08:31:03.0	null	2015-01-30 16:29:10.0	open	[]	5	90	Update ratelimit.c	https://api.github.com/repos/torvalds/linux/issues/90	https://github.com/torvalds/linux/pull/90	fix a bug in ratelimit, if the "begin" doesn't update at the same time with printed, the print will start from 1 in loops except for the first time, lets to only 9 logs suppressed, but not 10 as expected. 	renweihub	null	null	null	null	null	null	
2014-04-23 02:34:43.0	2017-03-04 22:34:21.0	2017-03-04 22:34:40.0	closed	[]	1	91	Fix the double-barreled homophone attack	https://api.github.com/repos/torvalds/linux/issues/91	https://github.com/torvalds/linux/pull/91		Ulexus	null	null	null	null	null	null	
2014-04-23 15:19:08.0	null	2015-01-08 14:02:02.0	open	[]	1	92	Add auto detection of the ds1307 device on the I2C	https://api.github.com/repos/torvalds/linux/issues/92	https://github.com/torvalds/linux/pull/92	Code should add instructions to kernel to auto-detect the presence of ds1307 device on I2C bus on address 0x68 and in case it is found auto assign it. The main drive is to make sure that devices (like Pi) do have correct time before init process is started thus make sure that all daemons have correct time during startup phase. I'm pretty sure that the code added is wrong, jsut don t knwo whom to contact to get help to add this functionality :) I've reused parts from the DOC: https://www.kernel.org/doc/Documentation/i2c/instantiating-devices 	maestrx	null	null	null	null	null	null	
2014-05-23 08:50:03.0	2015-06-26 09:40:47.0	2015-06-26 09:40:47.0	closed	[]	2	93	Wip/stage sunxi 3.4/a20	https://api.github.com/repos/torvalds/linux/issues/93	https://github.com/torvalds/linux/pull/93		kerlw	null	null	null	null	null	null	
2014-05-23 09:08:26.0	null	2020-10-02 17:56:21.0	open	[]	1	94	Update saa7134-cards.c	https://api.github.com/repos/torvalds/linux/issues/94	https://github.com/torvalds/linux/pull/94	fix for AVERMEDIA STUDIO 507UA 	AnTAVR	null	null	null	null	null	null	
